;;I-CVI;CVR;Clarity;Recommendations for improvements
item12_app;12.  I find satisfaction in exerting physical effort.;0,777777778;0,111111111;2,555555556;To me, this indicates the respondent is intrinsically motivated toward physical effort, which is correlated with their tendency to approach it.
item13_app;13.  The idea of exerting physical effort is appealing to me.;0,888888889;0,111111111;2,666666667;In my opinion, for some sedentary people 'the idea of...' may be appealing, but they just don't have the willpower to do it
item14_app;14.  I really enjoy tasks that involve physical effort. ;0,777777778;0,333333333;2,777777778;To me, this indicates the respondent is intrinsically motivated toward physical effort, which is correlated with their tendency to approach it.
item15_app;15.  I find tasks that require physical effort stimulating.;0,444444444;-0,333333333;2,333333333;Stimulating as in what? I am not sure I fully understand this one. / To me, this indicates that the respondent finds physical effort energizing, which is correlated with their tendency to approach it.
item16_app;16.  When I engage in a task the requires physical effort, I know I will find it difficult to stop once I have started.  ;0,333333333;-0,555555556;2;I usually find it difficult to stop once I started. / To me, this is indicates the respondent becomes immersed in physical effort when doing it, which is correlated with their tendency to approach it./ Be aware of the typo. In any case, this item is a bit confusing to me
item17_app;17.  The harder the physical effort, the more satisfied I am. ;0,333333333;-0,555555556;2,666666667;maybe more enjoyable? / To me, this indicates the respondent has graded satisfaction to physical effort when doing it, which is correlated with their tendency to approach it./ Seems similar to items in the PRETIE-Q scale - Ekkekakis.
item18_app;18.  Engaging in tasks requiring vigorous physical effort is appealing to me. ;0,666666667;-0,111111111;2,777777778;
item19_app;19.  When I have a chance to sit or lay down, I do it right away. (reverse item);0,666666667;0,333333333;2,555555556;I think something about disengaging from exercise is missing in the reverse items./ I like it.
item20_app;20.  When I have an opportunity to rest, I immediately seize it. (reverse item);0,555555556;-0,111111111;2,111111111;"Not sure about immediately here./ Addition here of ""rest"" as oppossed to ""sit or lay down"" in 22. Good./ The respondent may wonder: well, do they mean if I am tired? In other words, the answer may depend on the current or hypothetical state of the volunteer"
item21_app;21.  I like sitting or laying down. (reverse item);0,222222222;-0,555555556;2,555555556;Maybe resting rather than sitting or laying down. / To me, this indicates the respondent enjoys sitting or laying, which is negatively correlated with their tendency to approach it./Same as for item 3. This item could be construed as a state instead of a trait.
item22_app;22.  Exerting physical effort is not something I am looking for. (reverse item);0,555555556;0,111111111;2,555555556;Something about enjoyment is missing./I like it.
;Avoidance dimension;;;;
item1_avoid;1.     When I have to exert some physical effort, I feel a strong desire to avoid it.;1;0,148148148;2,555555556;"Maybe remove ""strong"". / My same comments as in the previous page about ""physical effort"". I think more variation needs provided so people understand you mean, exericse, running to the bus, moving around, getting up from a chair, etc etc. Perhaps this can be resolved in the instructions, which are not provided."
item2_avoid;2.     I avoid situations in which I will have to exert some physical effort.;1;0,222222222;2,777777778;
item3_avoid;3.     I often have thoughts like “just don’t make any physical effort”.;0,222222222;0,024691358;1,777777778;"Maybe ""I don't like exerting physical effort"" . / This may be my own bias, but I find it hard to imagine people having such thoughts."
item4_avoid;4.     When there is an opportunity, I immediately stop a physically effortful task.;0,444444444;0,074074074;2,222222222;"Maybe remove ""immediately"""
item5_avoid;5.     I avoid situations where I may have to exert physical effort.;1;0,172839506;2,777777778;Nearly identical to a previous item (#2).
item6_avoid;6.     I exert physical effort only when there is no other alternative.;0,888888889;0,197530864;2,666666667;
item7_avoid;7.     Exerting physical effort is not appealing to me.;0,888888889;0,148148148;2,666666667;I think one of these question should involve enjoy/not enjoy
item8_avoid;8.     I stay away from tasks that require physical effort.;0,888888889;0,172839506;2,666666667;From 8 to 18, there is redundancy apparently with items above these, so I marked with a 2. In some cases, the items are VERY similar and difficult to distinguish from each other unless there is a close examination.
item9_avoid;9.     I am always reluctant to engage in situations that demand physical effort. ;0,666666667;0,148148148;2,333333333;"Maybe remove ""always"""
item10_avoid;10.  When I have a chance to exert physical effort, I move away from it right away.;0,333333333;0,024691358;2,111111111;I aim to avoid the situation?
item11_avoid;11.  I find physical effort unappealing. ;0,777777778;0,12345679;2,666666667;
item12_avoid;12.  I do not find any satisfaction in exerting physical effort. ;0,888888889;0,098765432;2,777777778;I do not find satisfaction in…/ To me, this indicates that people do not like physical effort, which is correlated with their tendency to avoid it.
item13_avoid;13.  Exerting physical effort is not my thing. ;0,666666667;0,098765432;2,666666667;"May be too language/culture specific. I think this can be removed. / To me, this indicates that people do not like physical effort, which is correlated with their tendency to avoid it./ ""Not my thing"" is a bit informal, but that might actually make it an ideal item for later analyses. I don't believe there is an item similar to this in the ""Approach"" section, however."
item14_avoid;14.  Before engaging in an effortful task, I always look for other alternatives.;0,444444444;0,074074074;2,333333333;I look for other / I like the idea of trying to replace physical effort with a less demanding alternative. Like instead of going grocery shopping, you order them online.
item15_avoid;15.  I avoid tasks that require physical effort.;0,888888889;0,172839506;2,777777778;
item16_avoid;16.  I get upset when I have to engage in a physically effortful task.;0,222222222;0,024691358;2,666666667;Not sure about upset here. Maybe frustrated? / To me, this indicates that people do not like physical effort, which is correlated with their tendency to avoid it.
item17_avoid;17.  The harder the physical effort, the more dissatisfied I am. ;0,333333333;0,049382716;2,222222222;the more unenjoyable I find it? / To me, this indicates that people have a graded disdain for physical effort, which is correlated with their tendency to avoid it.
item18_avoid;18.  Engaging in tasks requiring vigorous physical effort does not appeal to me at all.;0,777777778;0,148148148;2,555555556;"Here the word ""vigorous"" is attached to the words ""physical effort"" and I am wondering if this was intentional or incidental."
item19_avoid;19.  I avoid tasks that require remaining sitted. (reverse item);0,333333333;0,074074074;2,333333333;that require long periods of resting (e.g., sitting)
item20_avoid;20.  I dislike tasks that require sitting or lying down. (reverse item);0,333333333;0,074074074;2,777777778;This is a little strange. I'd go with extended resting and/or being inactive and use sitting or lying as examples in brackets. /To me, this indicates that people do not like physical effort, which is correlated with their tendency to avoid it.
item21_avoid;21.  Sitting and laying down is not appealing. (reverse item);0,444444444;0,098765432;2,666666667;Same as above
item22_avoid;22.  When possible, I avoid a task that involves primarily lying down. (reverse item);0,333333333;0,074074074;2,555555556;"I avoid extended periods of physical inactivity/rest / The idea of ""rest"" included in the previous Approach section, is not included here in the avoidance section."
